rh.aparc.DKTatlas.thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV	rh_temporalpole_thickness
M070481/	4.187	3.279	2.663	3.256	3.153	2.711	3.073	3.324	2.405	3.851	3.125	4.142	3.276	2.809	3.141	3.432	3.781	3.4	2.338	2.547	3.576	2.905	3.419	3.81	3.143	3.51	2.511	3.341	3.269	3.289	4.068	3.0909	801235.0	1073055.18537	0.0
M070524/	3.324	3.435	2.519	3.7	3.218	3.006	3.156	2.848	2.603	3.663	2.189	3.311	3.298	2.54	3.056	3.289	3.31	3.227	2.29	2.505	2.985	3.062	2.872	3.625	2.94	3.378	2.707	3.474	3.149	3.852	4.027	3.05128	1036281.0	1227324.2741	0.0
M070531/	3.526	3.125	2.495	3.602	3.074	2.768	3.336	2.569	2.121	3.752	2.681	3.668	3.368	3.177	2.972	3.104	3.995	3.398	2.149	2.776	2.952	2.983	3.153	4.062	3.339	3.564	2.8	3.198	3.161	3.043	3.991	3.05809	933146.0	1252280.51631	0.0
M075604/	3.42	3.004	2.375	3.906	3.267	3.006	3.301	2.456	2.47	3.418	2.612	3.153	3.266	3.223	2.883	3.235	2.973	3.309	2.263	2.538	2.995	2.912	3.001	3.485	3.137	3.234	2.742	3.332	3.065	3.092	3.982	3.01179	939453.0	811626.141878	0.0
M075779/	3.23	3.073	2.498	3.384	3.051	3.001	3.5	3.059	2.563	3.563	2.772	3.532	3.397	2.491	2.933	3.101	3.288	3.09	2.238	2.476	3.102	2.905	3.049	3.528	3.074	3.371	2.76	3.31	3.172	3.27	3.693	3.06246	1418322.0	1312576.80686	0.0
M136779/	2.952	3.017	2.391	3.27	3.026	2.875	3.269	2.566	2.289	3.466	2.404	3.453	3.334	2.691	2.872	3.066	3.254	3.028	2.074	2.518	2.873	2.845	2.973	3.593	3.024	3.351	2.659	3.257	3.019	2.831	3.693	2.9692	987112.0	853683.675799	0.0
M136846/	3.296	3.215	2.822	3.917	3.164	3.086	3.456	2.659	2.348	3.588	2.483	3.657	3.58	2.951	3.169	3.368	3.336	3.045	2.247	2.606	3.228	2.972	3.212	3.478	3.079	3.461	2.815	3.61	3.132	3.374	3.839	3.11667	1194936.0	1036418.62775	0.0
M136889/	3.121	2.879	2.449	3.63	2.885	2.817	3.073	2.998	2.269	3.429	2.426	3.322	3.078	2.616	2.66	3.089	3.038	2.78	1.86	2.313	3.108	2.804	2.757	3.296	2.791	2.984	2.547	3.048	2.614	2.366	3.53	2.79541	1092063.0	911762.037011	0.0
M136890/	3.436	3.303	2.642	3.413	3.203	3.215	3.485	2.891	2.142	4.019	2.937	4.086	3.628	3.121	3.208	3.453	3.903	3.078	2.454	2.871	3.402	3.127	3.383	4.112	3.348	3.816	3.072	3.498	3.61	3.563	3.729	3.26263	1009101.0	834341.979042	0.0
M136903/	3.5	3.148	2.764	3.672	3.343	3.015	3.426	2.577	2.753	3.427	3.024	3.472	3.62	2.954	3.08	3.307	3.559	2.952	2.74	2.646	2.879	2.967	3.252	3.744	3.029	3.329	2.757	3.605	3.282	3.821	3.838	3.14228	1206384.0	1070515.14599	0.0
M136904/	3.117	3.138	2.304	3.851	3.081	2.834	3.247	2.46	2.381	3.285	2.58	3.11	3.139	3.026	3.114	3.085	3.447	2.888	1.959	2.474	2.929	2.885	2.926	3.088	2.893	3.304	2.691	3.218	2.975	2.849	3.651	2.92393	1196199.0	961143.242792	0.0
M136919/	3.511	3.528	2.669	3.347	3.331	3.301	3.551	3.177	2.903	3.808	2.846	3.907	3.558	3.099	3.396	3.381	3.641	3.1	2.206	2.767	3.48	2.954	3.409	3.81	3.272	3.773	2.99	3.624	3.453	3.509	4.152	3.30924	914572.0	826050.588887	0.0
M136925/	3.874	3.47	2.822	3.747	3.357	3.296	3.235	3.147	2.601	3.928	2.831	4.191	3.262	3.864	3.254	3.463	4.0	3.332	2.608	2.634	3.251	3.162	3.345	4.567	3.672	3.823	2.975	3.297	3.285	3.143	3.981	3.24375	925334.0	854576.340755	0.0
M136934/	2.981	3.023	2.434	3.3	2.824	2.881	3.084	2.567	2.426	3.226	2.444	3.077	2.996	2.563	3.033	2.976	3.232	2.771	2.087	2.443	2.854	2.86	2.912	3.145	2.93	3.23	2.576	3.002	2.897	2.475	3.541	2.86588	1317616.0	1065322.33318	0.0
M136956/	2.791	3.147	2.301	3.304	3.214	3.001	3.112	2.59	2.167	3.328	2.763	3.399	3.449	2.705	3.061	3.034	3.45	2.925	1.971	2.539	2.994	2.931	2.957	3.755	3.089	3.325	2.607	3.253	3.036	2.764	3.865	2.98464	1065582.0	903142.603168	0.0
M136963/	2.912	3.186	2.705	3.563	3.136	2.958	3.189	2.832	2.484	3.641	2.758	3.672	3.395	2.855	2.96	3.254	3.518	3.307	2.294	2.645	2.919	2.878	3.204	4.38	3.126	3.435	2.787	3.049	3.231	3.2	3.721	3.07448	906498.0	816836.105144	0.0
M136966/	3.012	3.131	3.117	2.366	3.472	3.257	3.718	3.12	2.912	3.792	2.839	3.756	3.485	2.99	3.288	3.57	3.072	3.303	2.071	3.163	3.387	2.789	3.333	3.802	3.237	3.616	3.072	3.694	3.46	3.594	3.948	3.32177	1080194.0	761825.57602	0.0
M137026/	3.591	3.191	2.778	3.514	3.204	2.91	3.515	3.001	2.343	3.571	2.649	3.835	3.347	2.465	3.245	3.22	3.494	3.151	2.165	2.608	3.575	3.045	3.013	4.077	3.25	3.527	2.744	3.418	3.12	2.966	3.667	3.10503	968147.0	871587.208359	0.0
M137027/	3.257	3.162	2.97	4.007	3.27	3.244	3.348	2.582	2.471	4.029	2.986	3.891	3.393	2.943	3.057	3.023	3.915	3.217	2.536	2.614	3.001	2.937	3.311	3.738	3.2	3.348	2.887	3.371	3.224	3.2	3.991	3.13303	967706.0	887824.867404	0.0
M137031/	3.343	3.148	2.705	3.742	3.204	3.22	3.452	2.899	2.723	3.44	2.743	3.85	3.55	3.336	3.102	3.273	3.29	3.239	2.064	2.851	3.15	3.077	3.339	3.703	3.175	3.428	2.967	3.585	3.342	3.081	3.762	3.18603	1125865.0	961246.70258	0.0
