lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
m000206/	3.339	3.187	2.444	3.633	3.321	3.092	3.466	2.96	2.687	3.454	2.67	3.636	3.351	3.359	3.168	3.105	3.062	3.034	1.963	2.511	2.889	2.974	2.923	3.325	3.266	3.379	2.748	3.482	3.112	3.041	3.766	3.10762	1158447.0	1064809.56792
m000212/	3.309	3.088	2.529	3.69	3.296	2.973	3.291	2.871	2.589	3.434	2.74	3.049	3.217	3.421	2.922	3.045	3.087	3.047	2.276	2.454	2.856	2.757	2.832	3.657	3.024	3.355	2.561	3.271	3.115	2.982	3.538	2.99197	1039261.0	1240636.52724
m000234/	3.313	3.018	2.325	3.83	3.13	3.063	3.309	2.713	2.563	3.463	2.665	3.309	3.183	3.002	3.1	2.989	3.223	2.964	1.832	2.532	3.168	2.706	3.017	3.097	3.186	3.332	2.615	3.257	2.935	2.465	3.57	2.98471	1269438.0	1166056.95366
m000270/	2.921	2.746	2.155	3.374	3.05	2.642	3.018	2.571	2.328	3.375	2.459	2.972	2.968	2.634	2.617	2.751	2.935	2.667	1.818	2.266	2.959	2.67	2.637	2.946	2.633	3.014	2.258	2.907	2.847	2.444	3.478	2.72237	1097004.0	1058075.34852
m000320/	3.041	2.924	2.302	3.411	3.036	2.975	3.169	2.558	2.566	3.144	2.505	3.057	3.05	2.745	2.796	2.94	2.787	2.781	1.949	2.457	2.79	2.699	2.821	3.355	2.86	3.12	2.5	2.913	2.886	2.737	3.464	2.85013	1203905.0	1465340.74196
m000348/	3.219	3.224	2.352	3.383	3.12	3.031	3.25	2.702	2.688	3.661	2.69	3.568	3.105	2.867	2.84	3.291	3.26	2.897	2.208	2.68	2.889	2.965	3.069	3.546	3.164	3.454	2.752	3.126	3.206	2.631	3.739	3.05205	1047960.0	1321150.75009
m000389/	3.51	3.091	2.641	3.69	3.348	3.26	3.452	2.727	2.867	3.52	2.965	3.395	3.337	2.795	3.166	3.145	3.077	3.267	2.367	2.622	3.028	2.99	3.066	3.346	3.155	3.617	2.891	3.344	3.18	3.236	3.715	3.16703	1199622.0	1155217.59655
m000392/	3.348	2.978	2.443	3.756	3.122	3.107	3.169	2.674	2.687	3.317	2.513	3.349	3.291	2.931	3.215	3.043	3.216	2.899	2.308	2.459	2.912	2.938	3.016	3.487	3.1	3.337	2.749	3.264	2.984	3.139	3.622	3.01565	1096915.0	982293.278862
m000394/	2.963	2.857	2.435	3.369	3.079	2.877	3.598	2.868	2.667	3.489	2.692	3.4	3.24	2.798	2.79	2.888	3.182	2.87	1.908	2.4	2.873	2.72	3.031	3.553	2.768	3.224	2.55	2.97	2.926	2.706	3.687	2.93277	1139721.0	1506314.77959
m000430/	2.925	2.852	2.038	3.789	2.98	2.859	3.194	3.012	2.545	3.298	2.416	3.122	2.947	2.941	2.847	2.852	2.748	2.746	1.849	2.279	2.764	2.702	2.69	3.212	2.894	3.087	2.519	3.05	2.987	2.626	3.448	2.81811	1098569.0	1074485.73361
m077677/	3.27	2.82	2.487	3.153	3.143	3.081	3.341	2.686	2.732	3.374	2.585	3.442	3.125	2.523	2.931	3.143	3.204	2.985	2.007	2.421	2.631	2.67	2.831	3.106	3.024	3.205	2.647	3.169	3.104	2.678	3.907	2.96131	1038404.0	1264671.47097
m077764/	3.068	2.888	2.666	2.679	3.287	3.16	3.705	2.641	2.798	3.678	2.832	3.728	3.27	2.578	2.943	3.222	3.332	2.996	2.154	2.502	3.148	2.75	2.987	3.399	3.102	3.328	2.68	3.167	2.973	3.168	3.731	3.0547	893383.0	1223196.65883
m077780/	3.356	2.853	2.345	3.021	3.2	2.945	3.31	2.64	2.418	3.164	2.567	3.213	3.131	2.415	2.727	3.113	2.978	2.782	1.918	2.432	2.842	2.808	2.922	3.036	2.9	3.179	2.636	3.174	3.133	2.472	3.799	2.90977	1115492.0	1357381.1845
m078098/	3.623	3.033	2.562	3.778	3.104	2.848	3.404	3.005	2.584	3.572	2.673	3.298	3.125	3.348	2.946	2.861	3.287	2.889	2.031	2.388	2.937	2.907	2.86	3.523	3.036	3.382	2.614	3.126	2.886	2.892	3.661	2.97273	929788.0	1160881.19664
m078271/	3.351	2.97	2.886	2.713	3.241	3.244	3.395	2.788	2.668	3.479	2.69	3.748	3.355	2.197	2.891	3.137	3.067	2.891	2.381	2.526	2.943	2.756	2.931	3.235	3.012	3.404	2.933	3.165	3.078	3.089	3.733	3.02298	1000332.0	1296583.11287
m078681/	3.673	3.127	2.597	3.572	3.35	3.073	3.499	3.012	2.867	3.474	2.724	3.566	3.108	3.298	3.167	3.059	3.281	2.974	2.179	2.524	3.018	2.957	3.026	3.324	3.253	3.449	2.792	3.311	3.183	2.834	3.712	3.09766	964151.0	1146539.14313
m078683/	3.493	3.178	2.612	3.746	3.254	3.048	3.309	2.884	2.941	3.633	2.734	3.414	3.222	3.266	3.13	3.162	3.142	3.197	2.154	2.661	2.945	2.973	2.951	3.324	3.188	3.446	2.76	3.213	3.079	2.624	3.718	3.09703	994696.0	1083967.59144
m078685/	3.331	2.992	2.327	2.979	3.091	2.953	3.25	2.862	2.615	3.421	2.476	3.173	3.111	2.559	2.861	3.15	2.958	2.844	1.906	2.384	3.066	2.696	2.933	3.084	3.054	3.175	2.642	3.119	3.044	2.628	3.543	2.92488	1130721.0	1102939.44968
m079271/	3.089	2.832	2.413	3.853	3.011	2.768	3.369	2.489	2.516	3.529	2.319	3.624	3.128	2.662	2.533	2.725	3.072	2.688	2.061	2.24	2.659	2.591	2.594	3.427	2.843	3.09	2.35	3.221	2.745	2.5	3.712	2.82025	751081.0	1377684.8205
m080832/	3.176	2.895	2.325	2.959	3.286	3.024	3.198	2.61	2.687	3.644	2.682	3.234	3.1	3.17	2.922	3.09	3.013	2.822	2.059	2.418	3.028	2.791	2.749	3.338	3.01	3.362	2.627	2.989	2.851	2.828	3.555	2.93573	981678.0	913558.835215
m080852/	3.506	2.957	2.25	3.428	3.155	2.884	3.588	2.692	2.595	3.603	2.495	3.597	3.344	2.536	2.932	3.496	3.429	3.174	2.075	2.37	2.997	2.835	2.942	4.079	3.215	3.529	2.787	3.14	3.256	2.718	3.797	3.04891	831310.0	1066391.16706
m080853/	3.327	3.079	2.6	3.81	3.311	3.213	3.552	3.088	2.724	3.666	2.74	3.438	3.34	3.088	2.877	3.082	3.467	2.897	2.078	2.456	3.083	2.843	3.163	3.897	3.092	3.345	2.792	3.225	3.116	2.854	3.641	3.08397	936585.0	1058016.64185
m080858/	3.437	3.059	2.473	3.524	3.183	2.941	3.494	2.819	2.674	3.551	2.599	3.607	3.213	2.763	2.775	3.087	3.045	3.112	1.927	2.428	2.951	2.845	2.857	3.375	3.137	3.26	2.57	3.303	2.964	2.827	3.572	2.99166	1037161.0	1256941.12641
m080859/	3.372	2.836	2.261	3.051	2.851	2.91	3.48	2.621	2.653	3.544	2.49	3.922	3.127	2.643	2.556	2.876	3.148	2.734	2.0	2.161	2.84	2.596	2.849	3.992	3.007	3.196	2.532	2.973	2.779	2.505	3.427	2.85071	820711.0	1087560.01609
m080907/	3.447	3.24	2.863	3.597	3.234	3.327	3.292	2.633	2.788	3.552	2.831	3.334	3.565	2.801	3.028	3.653	3.561	3.252	2.318	2.595	3.159	2.897	3.184	3.68	3.387	3.598	2.863	3.305	3.294	2.741	3.506	3.18264	1003600.0	1230396.32355
m080917/	3.156	2.958	2.3	2.939	3.027	3.006	3.186	2.755	2.646	3.295	2.484	3.289	3.205	2.765	2.677	2.597	2.972	2.913	1.963	2.433	2.983	2.738	2.799	3.208	2.861	3.151	2.6	3.107	2.916	3.028	3.721	2.89354	1053811.0	1300903.59127
m080943/	2.91	3.007	2.572	3.538	3.301	3.19	3.637	3.005	2.758	3.718	2.608	3.72	3.451	2.79	3.141	3.005	3.461	3.084	1.897	2.543	2.786	2.755	3.065	3.339	3.276	3.53	2.787	3.224	3.259	3.182	3.567	3.10797	861212.0	1102017.84606
m080946/	2.848	2.816	2.574	3.313	3.146	2.948	3.389	2.572	2.543	3.441	2.71	3.282	3.052	2.698	2.935	2.855	3.134	2.673	2.289	2.434	2.675	2.757	2.791	3.192	2.822	3.207	2.559	3.278	2.954	2.925	3.522	2.90867	1085545.0	1136180.88405
m080947/	3.25	2.991	2.991	3.661	3.222	3.132	3.414	3.007	2.747	3.705	2.713	3.519	3.247	2.771	3.015	3.129	2.976	3.166	2.382	2.615	3.109	2.794	2.969	3.428	2.971	3.403	2.761	3.109	3.005	2.741	3.515	3.05088	1077539.0	1082411.10515
m080966/	3.186	2.85	2.347	3.356	3.228	2.867	3.338	2.526	2.628	3.377	2.472	3.073	3.24	3.651	2.922	2.73	2.747	2.649	2.168	2.347	2.682	2.819	2.741	3.133	2.621	3.1	2.54	3.164	2.844	2.857	3.243	2.87914	1064076.0	1225089.31292
